"state","city","latitude","longitude","temp_f","pressure_mbar","dewpoint_f"
"ca","alpine",32,-117,34.9,1020.5,28.9
"tx","mccook",26,-99,39.6,1021.9,29.5
"wa","appleton",45,-122,29.9,1020.2,24.8
"ca","imperial",32,-116,34.4,1020.2,28.7
"tx","raymondville",26,-98,42.4,1021.1,29.5
"wa","bickleton",45,-121,29.7,1020.7,24.7
"ca","anaheim",33,-118,33.9,1020,28.4
"tx","freer",27,-99,44.5,1020,29.4
"wa","grayland",46,-125,29.7,1020.2,24.6
"ca","hemet",33,-117,33.4,1020.2,28.3
"tx","robstown",27,-98,46,1019.3,29.1
"wa","oakville",46,-124,29.5,1020.7,24.5
"ca","lompoc",34,-121,33.1,1020.2,28
"tx","pearsall",28,-100,46.5,1019,28.8
"wa","glenoma",46,-123,29.8,1020,24.6
"ca","oxnard",34,-120,32.7,1020,27.9
"tx","pleasanton",28,-99,46.1,1019.2,28.8
"wa","packwood",46,-122,29.6,1020.5,24.6
"ca","palmdale",34,-119,32.5,1020.3,27.7
"tx","goliad",28,-98,44.4,1019.6,28.7
"wa","wapato",46,-121,29.7,1019.9,24.4
"ca","barstow",34,-118,32.3,1020.8,27.6
"tx","presidio",29,-105,41.5,1020.1,28.7
"wa","smyrna",46,-120,29.5,1020.4,24.4
"ca","buttonwillow",35,-120,32.1,1021.3,27.4
"tx","lajitas",29,-104,39.8,1020.6,29.1
"wa","colfax",46,-118,29.9,1019.5,24.3
"ca","glennville",35,-119,33.8,1021.7,28.2
"tx","langtry",29,-102,38.5,1020.9,29.2
"wa","clearwater",47,-125,29.6,1019.9,24.2
"ca","trona",35,-118,36.4,1022.1,28.9
"tx","brackettville",29,-101,37.4,1021,29.2
"wa","shelton",47,-124,29.4,1020.4,24.2
"ca","baker",35,-117,39.4,1022,29.3
"tx","floresville",29,-99,36.5,1020.9,29.2
"wa","bremerton",47,-123,29.7,1019.5,24.2
"ca","monterey",36,-122,34.9,1020.5,28.9
"tx","yoakum",29,-98,35.8,1020.9,29.1
"wa","monroe",47,-122,29.4,1020,24.1
"ca","madera",36,-121,34.4,1020.2,28.7
"tx","sealy",29,-97,35.1,1020.5,28.9
"wa","chelan",47,-121,29.3,1020.5,24
"ca","visalia",36,-120,33.9,1020,28.4
"tx","houston-port",29,-96,34.6,1020.2,28.8
"wa","hartline",47,-120,29.7,1019.3,24.1
"ca","lodgepole",36,-119,33.4,1020.2,28.3
"tx","baytown",29,-95,34.1,1020,28.5
"wa","wellpinit",47,-118,29.4,1019.6,23.9
"ca","haiwee",36,-118,33.1,1020.2,28
"tx","valentine",30,-105,33.7,1020.1,28.4
"wa","anacortes",48,-123,29.2,1020.1,23.7
"ca","kentfield",37,-123,32.7,1020,27.9
"tx","marathon",30,-104,33.3,1020.2,28.2
"wa","newhalem",48,-122,29,1020.6,23.7
"ca","newman",37,-122,32.5,1020.3,27.7
"tx","bakersfield",30,-103,32.9,1020,28.1
"wa","mazama",48,-121,29.8,1019.4,24.1
"ca","sonora",37,-121,32.3,1020.8,27.6
"tx","ozona",30,-102,32.7,1020.3,27.9
"wa","republic",48,-119,29.5,1019.7,23.9
"ca","cloverdale",38,-124,32.1,1021.3,27.4
"tx","sonora",30,-101,32.5,1020.8,27.8
"wa","chewelah",48,-118,29.2,1020.2,23.8
"ca","calistoga",38,-123,33.8,1021.7,28.2
"tx","menard",30,-100,32.3,1021.2,27.7
"ca","auburn",38,-122,34.9,1020.6,28.8
"tx","burnet",30,-99,34,1021.6,28.5
"ca","placerville",38,-121,34.4,1020.2,28.7
"tx","taylor",30,-98,36.7,1022,29.2
"ca","bridgeport",38,-120,33.9,1020.1,28.4
"tx","cameron",30,-97,39.7,1021.9,29.6
"ca","covelo",39,-124,33.5,1020.2,28.3
"tx","madisonville",30,-96,42.5,1021,29.7
"ca","paradise",39,-122,33.1,1020.2,28
"tx","penwell",31,-103,44.5,1019.9,29.5
"ca","portola",39,-121,32.7,1020,27.9
"tx","midkiff",31,-102,45.9,1019.2,29.2
"ca","scotia",40,-125,32.5,1020.4,27.7
"tx","coleman",31,-100,46.5,1019,28.9
"ca","burney",40,-122,32.3,1020.8,27.6
"tx","hico",31,-99,46,1019.2,28.9
"ca","klamath",41,-125,32.1,1021.3,27.5
"tx","mcgregor",31,-98,44.3,1019.6,28.9
"ca","cecilville",41,-124,33.8,1021.7,28.3
"tx","franklin",31,-97,41.5,1020,28.8
"ca","callahan",41,-123,34.6,1020.2,28.8
"tx","jacksonville",31,-96,39.8,1020.5,29.2
"ca","tulelake",41,-122,33.8,1021.7,28.3
"tx","center",31,-95,38.5,1020.8,29.3
"ca","alturas",41,-121,36.6,1022,29.1
"tx","andrews",32,-103,37.4,1020.9,29.3
"tx","gail",32,-102,36.5,1020.9,29.3
"tx","rotan",32,-101,35.7,1020.8,29.2
"tx","putnam",32,-100,35,1020.4,29
"tx","breckenridge",32,-99,34.5,1020.1,28.7
"tx","burleson",32,-98,34,1019.9,28.5
"tx","ferris",32,-97,33.6,1020,28.3
"tx","emory",32,-96,33.1,1020.1,28.1
"tx","jefferson",32,-95,32.8,1019.9,28
"tx","littlefield",33,-103,32.5,1020.2,27.8
"tx","floydada",33,-102,32.4,1020.6,27.7
"tx","guthrie",33,-101,32.2,1021.1,27.6
"tx","munday",33,-100,33.8,1021.5,28.4
"tx","henrietta",33,-99,36.6,1021.9,29
"tx","bowie",33,-98,39.6,1021.8,29.4
"tx","sherman",33,-97,42.3,1021,29.4
"tx","dekalb",33,-95,44.3,1019.8,29.2
"tx","hereford",34,-103,45.6,1019.2,28.9
"tx","canyon",34,-102,46.2,1018.9,28.7
"tx","clarendon",34,-101,45.7,1019.1,28.6
"tx","vernon",34,-100,44.1,1019.5,28.7
"tx","bravo",35,-104,41.3,1019.9,28.6
"tx","dumas",35,-102,39.5,1020.4,28.9
"tx","canadian",35,-101,38.3,1020.7,29
"tx","gruver",36,-102,37.2,1020.9,29
"tx","follett",36,-101,36.4,1020.8,29
